text,label,rating,sentiment_score
"Solid product for the price, works as described. Review #0.",0,3,0.55
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #0,1,5,0.15
Good quality but shipping took a week. Review #1.,0,4,0.65
Amazing amazing amazing totally legit not fake at all!!! #1,1,5,0.15
"Average experience, nothing special. Review #2.",0,5,0.75
Perfect perfect perfect click here for discount!!! #2,1,5,0.15
"Happy with purchase, would recommend to friends. Review #3.",0,3,0.8500000000000001
LOVE LOVE LOVE this changed my life must buy!!! #3,1,5,0.15
"Decent build, minor issues with packaging. Review #4.",0,4,0.55
Greatest item on earth five stars always!!! #4,1,5,0.15
"Solid product for the price, works as described. Review #5.",0,5,0.65
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #5,1,5,0.15
Good quality but shipping took a week. Review #6.,0,3,0.75
Amazing amazing amazing totally legit not fake at all!!! #6,1,5,0.15
"Average experience, nothing special. Review #7.",0,4,0.8500000000000001
Perfect perfect perfect click here for discount!!! #7,1,5,0.15
"Happy with purchase, would recommend to friends. Review #8.",0,5,0.55
LOVE LOVE LOVE this changed my life must buy!!! #8,1,5,0.15
"Decent build, minor issues with packaging. Review #9.",0,3,0.65
Greatest item on earth five stars always!!! #9,1,5,0.15
"Solid product for the price, works as described. Review #10.",0,4,0.75
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #10,1,5,0.15
Good quality but shipping took a week. Review #11.,0,5,0.8500000000000001
Amazing amazing amazing totally legit not fake at all!!! #11,1,5,0.15
"Average experience, nothing special. Review #12.",0,3,0.55
Perfect perfect perfect click here for discount!!! #12,1,5,0.15
"Happy with purchase, would recommend to friends. Review #13.",0,4,0.65
LOVE LOVE LOVE this changed my life must buy!!! #13,1,5,0.15
"Decent build, minor issues with packaging. Review #14.",0,5,0.75
Greatest item on earth five stars always!!! #14,1,5,0.15
"Solid product for the price, works as described. Review #15.",0,3,0.8500000000000001
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #15,1,5,0.15
Good quality but shipping took a week. Review #16.,0,4,0.55
Amazing amazing amazing totally legit not fake at all!!! #16,1,5,0.15
"Average experience, nothing special. Review #17.",0,5,0.65
Perfect perfect perfect click here for discount!!! #17,1,5,0.15
"Happy with purchase, would recommend to friends. Review #18.",0,3,0.75
LOVE LOVE LOVE this changed my life must buy!!! #18,1,5,0.15
"Decent build, minor issues with packaging. Review #19.",0,4,0.8500000000000001
Greatest item on earth five stars always!!! #19,1,5,0.15
"Solid product for the price, works as described. Review #20.",0,5,0.55
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #20,1,5,0.15
Good quality but shipping took a week. Review #21.,0,3,0.65
Amazing amazing amazing totally legit not fake at all!!! #21,1,5,0.15
"Average experience, nothing special. Review #22.",0,4,0.75
Perfect perfect perfect click here for discount!!! #22,1,5,0.15
"Happy with purchase, would recommend to friends. Review #23.",0,5,0.8500000000000001
LOVE LOVE LOVE this changed my life must buy!!! #23,1,5,0.15
"Decent build, minor issues with packaging. Review #24.",0,3,0.55
Greatest item on earth five stars always!!! #24,1,5,0.15
"Solid product for the price, works as described. Review #25.",0,4,0.65
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #25,1,5,0.15
Good quality but shipping took a week. Review #26.,0,5,0.75
Amazing amazing amazing totally legit not fake at all!!! #26,1,5,0.15
"Average experience, nothing special. Review #27.",0,3,0.8500000000000001
Perfect perfect perfect click here for discount!!! #27,1,5,0.15
"Happy with purchase, would recommend to friends. Review #28.",0,4,0.55
LOVE LOVE LOVE this changed my life must buy!!! #28,1,5,0.15
"Decent build, minor issues with packaging. Review #29.",0,5,0.65
Greatest item on earth five stars always!!! #29,1,5,0.15
"Solid product for the price, works as described. Review #30.",0,3,0.75
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #30,1,5,0.15
Good quality but shipping took a week. Review #31.,0,4,0.8500000000000001
Amazing amazing amazing totally legit not fake at all!!! #31,1,5,0.15
"Average experience, nothing special. Review #32.",0,5,0.55
Perfect perfect perfect click here for discount!!! #32,1,5,0.15
"Happy with purchase, would recommend to friends. Review #33.",0,3,0.65
LOVE LOVE LOVE this changed my life must buy!!! #33,1,5,0.15
"Decent build, minor issues with packaging. Review #34.",0,4,0.75
Greatest item on earth five stars always!!! #34,1,5,0.15
"Solid product for the price, works as described. Review #35.",0,5,0.8500000000000001
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #35,1,5,0.15
Good quality but shipping took a week. Review #36.,0,3,0.55
Amazing amazing amazing totally legit not fake at all!!! #36,1,5,0.15
"Average experience, nothing special. Review #37.",0,4,0.65
Perfect perfect perfect click here for discount!!! #37,1,5,0.15
"Happy with purchase, would recommend to friends. Review #38.",0,5,0.75
LOVE LOVE LOVE this changed my life must buy!!! #38,1,5,0.15
"Decent build, minor issues with packaging. Review #39.",0,3,0.8500000000000001
Greatest item on earth five stars always!!! #39,1,5,0.15
"Solid product for the price, works as described. Review #40.",0,4,0.55
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #40,1,5,0.15
Good quality but shipping took a week. Review #41.,0,5,0.65
Amazing amazing amazing totally legit not fake at all!!! #41,1,5,0.15
"Average experience, nothing special. Review #42.",0,3,0.75
Perfect perfect perfect click here for discount!!! #42,1,5,0.15
"Happy with purchase, would recommend to friends. Review #43.",0,4,0.8500000000000001
LOVE LOVE LOVE this changed my life must buy!!! #43,1,5,0.15
"Decent build, minor issues with packaging. Review #44.",0,5,0.55
Greatest item on earth five stars always!!! #44,1,5,0.15
"Solid product for the price, works as described. Review #45.",0,3,0.65
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #45,1,5,0.15
Good quality but shipping took a week. Review #46.,0,4,0.75
Amazing amazing amazing totally legit not fake at all!!! #46,1,5,0.15
"Average experience, nothing special. Review #47.",0,5,0.8500000000000001
Perfect perfect perfect click here for discount!!! #47,1,5,0.15
"Happy with purchase, would recommend to friends. Review #48.",0,3,0.55
LOVE LOVE LOVE this changed my life must buy!!! #48,1,5,0.15
"Decent build, minor issues with packaging. Review #49.",0,4,0.65
Greatest item on earth five stars always!!! #49,1,5,0.15
"Solid product for the price, works as described. Review #50.",0,5,0.75
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #50,1,5,0.15
Good quality but shipping took a week. Review #51.,0,3,0.8500000000000001
Amazing amazing amazing totally legit not fake at all!!! #51,1,5,0.15
"Average experience, nothing special. Review #52.",0,4,0.55
Perfect perfect perfect click here for discount!!! #52,1,5,0.15
"Happy with purchase, would recommend to friends. Review #53.",0,5,0.65
LOVE LOVE LOVE this changed my life must buy!!! #53,1,5,0.15
"Decent build, minor issues with packaging. Review #54.",0,3,0.75
Greatest item on earth five stars always!!! #54,1,5,0.15
"Solid product for the price, works as described. Review #55.",0,4,0.8500000000000001
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #55,1,5,0.15
Good quality but shipping took a week. Review #56.,0,5,0.55
Amazing amazing amazing totally legit not fake at all!!! #56,1,5,0.15
"Average experience, nothing special. Review #57.",0,3,0.65
Perfect perfect perfect click here for discount!!! #57,1,5,0.15
"Happy with purchase, would recommend to friends. Review #58.",0,4,0.75
LOVE LOVE LOVE this changed my life must buy!!! #58,1,5,0.15
"Decent build, minor issues with packaging. Review #59.",0,5,0.8500000000000001
Greatest item on earth five stars always!!! #59,1,5,0.15
"Solid product for the price, works as described. Review #60.",0,3,0.55
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #60,1,5,0.15
Good quality but shipping took a week. Review #61.,0,4,0.65
Amazing amazing amazing totally legit not fake at all!!! #61,1,5,0.15
"Average experience, nothing special. Review #62.",0,5,0.75
Perfect perfect perfect click here for discount!!! #62,1,5,0.15
"Happy with purchase, would recommend to friends. Review #63.",0,3,0.8500000000000001
LOVE LOVE LOVE this changed my life must buy!!! #63,1,5,0.15
"Decent build, minor issues with packaging. Review #64.",0,4,0.55
Greatest item on earth five stars always!!! #64,1,5,0.15
"Solid product for the price, works as described. Review #65.",0,5,0.65
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #65,1,5,0.15
Good quality but shipping took a week. Review #66.,0,3,0.75
Amazing amazing amazing totally legit not fake at all!!! #66,1,5,0.15
"Average experience, nothing special. Review #67.",0,4,0.8500000000000001
Perfect perfect perfect click here for discount!!! #67,1,5,0.15
"Happy with purchase, would recommend to friends. Review #68.",0,5,0.55
LOVE LOVE LOVE this changed my life must buy!!! #68,1,5,0.15
"Decent build, minor issues with packaging. Review #69.",0,3,0.65
Greatest item on earth five stars always!!! #69,1,5,0.15
"Solid product for the price, works as described. Review #70.",0,4,0.75
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #70,1,5,0.15
Good quality but shipping took a week. Review #71.,0,5,0.8500000000000001
Amazing amazing amazing totally legit not fake at all!!! #71,1,5,0.15
"Average experience, nothing special. Review #72.",0,3,0.55
Perfect perfect perfect click here for discount!!! #72,1,5,0.15
"Happy with purchase, would recommend to friends. Review #73.",0,4,0.65
LOVE LOVE LOVE this changed my life must buy!!! #73,1,5,0.15
"Decent build, minor issues with packaging. Review #74.",0,5,0.75
Greatest item on earth five stars always!!! #74,1,5,0.15
"Solid product for the price, works as described. Review #75.",0,3,0.8500000000000001
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #75,1,5,0.15
Good quality but shipping took a week. Review #76.,0,4,0.55
Amazing amazing amazing totally legit not fake at all!!! #76,1,5,0.15
"Average experience, nothing special. Review #77.",0,5,0.65
Perfect perfect perfect click here for discount!!! #77,1,5,0.15
"Happy with purchase, would recommend to friends. Review #78.",0,3,0.75
LOVE LOVE LOVE this changed my life must buy!!! #78,1,5,0.15
"Decent build, minor issues with packaging. Review #79.",0,4,0.8500000000000001
Greatest item on earth five stars always!!! #79,1,5,0.15
"Solid product for the price, works as described. Review #80.",0,5,0.55
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #80,1,5,0.15
Good quality but shipping took a week. Review #81.,0,3,0.65
Amazing amazing amazing totally legit not fake at all!!! #81,1,5,0.15
"Average experience, nothing special. Review #82.",0,4,0.75
Perfect perfect perfect click here for discount!!! #82,1,5,0.15
"Happy with purchase, would recommend to friends. Review #83.",0,5,0.8500000000000001
LOVE LOVE LOVE this changed my life must buy!!! #83,1,5,0.15
"Decent build, minor issues with packaging. Review #84.",0,3,0.55
Greatest item on earth five stars always!!! #84,1,5,0.15
"Solid product for the price, works as described. Review #85.",0,4,0.65
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #85,1,5,0.15
Good quality but shipping took a week. Review #86.,0,5,0.75
Amazing amazing amazing totally legit not fake at all!!! #86,1,5,0.15
"Average experience, nothing special. Review #87.",0,3,0.8500000000000001
Perfect perfect perfect click here for discount!!! #87,1,5,0.15
"Happy with purchase, would recommend to friends. Review #88.",0,4,0.55
LOVE LOVE LOVE this changed my life must buy!!! #88,1,5,0.15
"Decent build, minor issues with packaging. Review #89.",0,5,0.65
Greatest item on earth five stars always!!! #89,1,5,0.15
"Solid product for the price, works as described. Review #90.",0,3,0.75
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #90,1,5,0.15
Good quality but shipping took a week. Review #91.,0,4,0.8500000000000001
Amazing amazing amazing totally legit not fake at all!!! #91,1,5,0.15
"Average experience, nothing special. Review #92.",0,5,0.55
Perfect perfect perfect click here for discount!!! #92,1,5,0.15
"Happy with purchase, would recommend to friends. Review #93.",0,3,0.65
LOVE LOVE LOVE this changed my life must buy!!! #93,1,5,0.15
"Decent build, minor issues with packaging. Review #94.",0,4,0.75
Greatest item on earth five stars always!!! #94,1,5,0.15
"Solid product for the price, works as described. Review #95.",0,5,0.8500000000000001
BEST PRODUCT EVER!!! BUY NOW!!! FIVE STARS!!! #95,1,5,0.15
Good quality but shipping took a week. Review #96.,0,3,0.55
Amazing amazing amazing totally legit not fake at all!!! #96,1,5,0.15
"Average experience, nothing special. Review #97.",0,4,0.65
Perfect perfect perfect click here for discount!!! #97,1,5,0.15
"Happy with purchase, would recommend to friends. Review #98.",0,5,0.75
LOVE LOVE LOVE this changed my life must buy!!! #98,1,5,0.15
"Decent build, minor issues with packaging. Review #99.",0,3,0.8500000000000001
Greatest item on earth five stars always!!! #99,1,5,0.15
