text,price,quality,shipping,service
The price is too high but quality is excellent and shipping was fast. Review #0.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #1.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #2.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #3.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #4.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #5.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #6.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #7.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #8.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #9.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #10.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #11.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #12.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #13.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #14.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #15.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #16.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #17.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #18.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #19.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #20.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #21.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #22.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #23.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #24.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #25.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #26.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #27.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #28.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #29.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #30.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #31.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #32.",0.6,0.6,0.55,0.75
Expensive but worth it for the premium quality and express delivery. Review #33.,0.3,0.95,0.9,0.8
"Great deal on price, average quality, slow shipping, okay support. Review #34.",0.85,0.5,0.35,0.5
The price is too high but quality is excellent and shipping was fast. Review #35.,0.2,0.9,0.85,0.7
"Cheap product, terrible build quality, arrived late with poor service. Review #36.",0.8,0.15,0.2,0.25
"Fair price, decent quality, standard shipping, helpful customer service. Review #37.",0.6,0.6,0.55,0.75
